COMMAND   PID     USER   FD   TYPE             DEVICE  SIZE/OFF                NODE NAME
java    32434 mbennett    3r   REG               1,13 140421990           235430563 /Library/Java/JavaVirtualMachines/temurin-21-arm64.jdk/Contents/Home/lib/modules
java    32434 mbennett    4r   REG               1,13 109619828           234959017 /Users/mbennett/.m2/repository/org/openpnp/opencv/4.9.0-0/opencv-4.9.0-0.jar
java    32434 mbennett    5r   REG               1,13       306           238803545 /Users/mbennett/.m2/repository/org/openjfx/javafx-controls/23.0.2/javafx-controls-23.0.2.jar
java    32434 mbennett    6r   REG               1,13       306           238803547 /Users/mbennett/.m2/repository/org/openjfx/javafx-graphics/23.0.2/javafx-graphics-23.0.2.jar
java    32434 mbennett    7r   REG               1,13       302           238803549 /Users/mbennett/.m2/repository/org/openjfx/javafx-base/23.0.2/javafx-base-23.0.2.jar
java    32434 mbennett    8r   REG               1,13       301           238803551 /Users/mbennett/.m2/repository/org/openjfx/javafx-web/23.0.2/javafx-web-23.0.2.jar
java    32434 mbennett    9r   REG               1,13       303           238803553 /Users/mbennett/.m2/repository/org/openjfx/javafx-media/23.0.2/javafx-media-23.0.2.jar
java    32434 mbennett   10r   REG               1,13   1638917           238803559 /Users/mbennett/.m2/repository/org/openjfx/javafx-media/23.0.2/javafx-media-23.0.2-mac-aarch64.jar
java    32434 mbennett   11r   REG               1,13       303           238832995 /Users/mbennett/.m2/repository/org/openjfx/javafx-swing/23.0.2/javafx-swing-23.0.2.jar
java    32434 mbennett   12r   REG               1,13   4935899           238803561 /Users/mbennett/.m2/repository/org/openjfx/javafx-graphics/23.0.2/javafx-graphics-23.0.2-mac-aarch64.jar
java    32434 mbennett   13r   REG               1,13   2605885           238803557 /Users/mbennett/.m2/repository/org/openjfx/javafx-controls/23.0.2/javafx-controls-23.0.2-mac-aarch64.jar
java    32434 mbennett   14r   REG               1,13    756715           238803555 /Users/mbennett/.m2/repository/org/openjfx/javafx-base/23.0.2/javafx-base-23.0.2-mac-aarch64.jar
java    32434 mbennett   15r   REG               1,13  32659603           238803556 /Users/mbennett/.m2/repository/org/openjfx/javafx-web/23.0.2/javafx-web-23.0.2-mac-aarch64.jar
java    32434 mbennett   16r   REG               1,13     91164           238832997 /Users/mbennett/.m2/repository/org/openjfx/javafx-swing/23.0.2/javafx-swing-23.0.2-mac-aarch64.jar
java    32434 mbennett   17r   REG               1,13   4975267           238803560 /Users/mbennett/.m2/repository/org/openjfx/javafx-graphics/23.0.2/javafx-graphics-23.0.2-mac.jar
java    32434 mbennett   18r   REG               1,13   2605872           238803563 /Users/mbennett/.m2/repository/org/openjfx/javafx-controls/23.0.2/javafx-controls-23.0.2-mac.jar
java    32434 mbennett   19r   REG               1,13    756723           238803567 /Users/mbennett/.m2/repository/org/openjfx/javafx-base/23.0.2/javafx-base-23.0.2-mac.jar
java    32434 mbennett   20r   REG               1,13  35178440           238803566 /Users/mbennett/.m2/repository/org/openjfx/javafx-web/23.0.2/javafx-web-23.0.2-mac.jar
java    32434 mbennett   21r   REG               1,13     91164           238832999 /Users/mbennett/.m2/repository/org/openjfx/javafx-swing/23.0.2/javafx-swing-23.0.2-mac.jar
java    32434 mbennett   22r   REG               1,13   4839668           238803569 /Users/mbennett/.m2/repository/org/openjfx/javafx-graphics/23.0.2/javafx-graphics-23.0.2-linux.jar
java    32434 mbennett   23r   REG               1,13   2605899           238803571 /Users/mbennett/.m2/repository/org/openjfx/javafx-controls/23.0.2/javafx-controls-23.0.2-linux.jar
java    32434 mbennett   24r   REG               1,13    756716           238803574 /Users/mbennett/.m2/repository/org/openjfx/javafx-base/23.0.2/javafx-base-23.0.2-linux.jar
java    32434 mbennett   25r   REG               1,13  42838508           238803575 /Users/mbennett/.m2/repository/org/openjfx/javafx-web/23.0.2/javafx-web-23.0.2-linux.jar
java    32434 mbennett   26r   REG               1,13     91164           238833000 /Users/mbennett/.m2/repository/org/openjfx/javafx-swing/23.0.2/javafx-swing-23.0.2-linux.jar
java    32434 mbennett   27r   REG               1,13   4817440           238803581 /Users/mbennett/.m2/repository/org/openjfx/javafx-graphics/23.0.2/javafx-graphics-23.0.2-linux-aarch64.jar
